day,distance,count,speed,calorie,temp,
1/01/2020,3780.33,5087,1.8527759,181.72,2.1,
2/01/2020,810.8,1105,1.3306271,40.559998,4.2,
3/01/2020,1602.54,2142,2.6632011,76.18,7.8,
4/01/2020,641.22,873,1.2731285,32.539997,4.7,
5/01/2020,0,0,0,0,7.1,
6/01/2020,1702.22,2277,2.6725897,80.439997,5.5,
7/01/2020,0,0,0,0,6.8,
8/01/2020,3894.63,5116,1.4248706,171.31999,10.7,
9/01/2020,686.95,931,1.33568,33.829998,11.4,
10/01/2020,1829.96,2435,1.3665979,85.899994,10.7,
11/01/2020,2224.47,2991,2.7078704,104.84,5.3,
12/01/2020,0,0,0,0,6.8,
13/01/2020,1652.14,2190,1.4619983,74.939995,7.9,
14/01/2020,2025.67,2735,1.3722609,97.42,10.3,
15/01/2020,9944.93,13073,1.5038581,429.19,9.3,
16/01/2020,5989.74,7973,2.7000035,277.939985,7.8,
17/01/2020,0,0,0,0,8.3,
18/01/2020,6143.86,8146,2.7311492,285.06999,4,
19/01/2020,0,0,0,0,3.5,
20/01/2020,422.02,584,1.2690088,21.31,3.1,
21/01/2020,628.69,868,1.2122694,33.3,0.2,
22/01/2020,16157.7,21628,1.2926595,777.37,1.5,
23/01/2020,3593.31,4820,1.3242316,171.45,3.7,
24/01/2020,2035.09,2750,1.3099166,98.84,1.6,
25/01/2020,14802.81,19520,2.8381428,652.64996,1.4,
26/01/2020,0,0,0,0,6.7,
27/01/2020,19650.91,26015,1.3757045,875.89996,8.1,
28/01/2020,34044.35,45249,2.7370589,1574.2099,4.8,
29/01/2020,0,0,0,0,4.9,
30/01/2020,2616.43,3443,1.4745001,114.54,8.2,
31/01/2020,1882.68,2514,1.3527104,87.74,11.1,
1/02/2020,6536.19,8691,1.3429735,315.58,10.3,
2/02/2020,9877.99,13033,1.3874648,464.8,9.8,
3/02/2020,4724.26,6333,1.292104,228.72,9.2,
4/02/2020,9095.37,12229,2.6358927,453.65,5.3,
5/02/2020,6405,8637,1.373899,315.09,4.9,
6/02/2020,5019.52,6682,1.3727497,242.23,3.6,
7/02/2020,8231.82,11034,1.3372482,408.38998,4.8,
8/02/2020,0,0,0,0,8.2,
9/02/2020,888.96,1195,1.2720531,43.78,9.8,
10/02/2020,805.97003,1090,1.3575388,40.339996,7.6,
11/02/2020,1070.05,1444,1.3275796,54.85,5.5,
12/02/2020,2916.28,3886,1.3624082,141.15,4.8,
13/02/2020,19889.7796,26184,2.887034,880.95987,6.4,
14/02/2020,0,0,0,0,7.6,
15/02/2020,3607.9098,4783,2.9042914,165.33,4.2,
16/02/2020,0,0,0,0,12.2,
17/02/2020,2487.74,3331,2.7059507,120.169998,8,
18/02/2020,0,0,0,0,6.7,
19/02/2020,787.49,1082,1.3248755,38.929996,5.8,
20/02/2020,2195.54,2929,1.33722,106.869995,7.7,
21/02/2020,7808.5493,10253,1.496545,334.57996,6,
22/02/2020,13579.037,18115,1.3962281,629.1897,7.8,
23/02/2020,567.74,755,1.3105406,29.1,9.9,
24/02/2020,2944.6,3912,1.3648314,139.28,8.3,
25/02/2020,7823.66,10387,1.4146978,352.63,6.7,
26/02/2020,831.69,1140,1.2844806,42.359997,3.1,
27/02/2020,1555.05,2106,1.3487262,75.4,1.9,
28/02/2020,3150.96,4153,1.4397128,141.3,4,
29/02/2020,6690.6,8792,2.8974601,289.34,8.3,
1/03/2020,0,0,0,0,6.7,
2/03/2020,7303.6396,9541,1.5354773,309.38998,5.7,
3/03/2020,4658.51,5989,1.5301505,199.86998,4,
4/03/2020,272.15002,358,1.4017491,14.4,5.6,
5/03/2020,480.91,650,1.278381,23.44,6.4,
6/03/2020,6841.11,8905,2.8890867,304.54,5.2,
7/03/2020,2178.1,2864,1.3834286,103.57,6.4,
8/03/2020,0,0,0,0,7.9,
